id	synopsis	rating	genre	director	writer	theater_date	dvd_date	currency	box_office	runtime	studio
458	This is a romantic comedy set in Paris about a family that goes there because of business, and two young people who are engaged to be married in the fall have experiences there that change their lives. It's about a young man's great love for a city, Paris, and the illusion people have that a life different from theirs would be much better. It stars Owen Wilson, Rachel McAdams, Marion Cotillard, Kathy Bates, Carla Bruni, among others. -- (C) Sony Classics	PG-13	Comedy|Romance	Woody Allen	Woody Allen	2011-06-10	2011-12-20	$	55,400,000	94 minutes	Sony Pictures Classics
465	Based on the real-life story of golf legend Bobby Jones, Bobby Jones, Stroke of Genius features Jim Caviezel as the temperamental but highly talented amateur who threw a wrench in the golf world of the mid-'20s. Though Jones would eventually become the founder of the internationally renowned Augusta National Golf Club, which is father to the prestigious annual tournament known as The Masters, the combination of his ambition and tumultuous relationship with the media interfered with his personal life to such an extent that his future in the sport seemed doomed. With the help of his wife, Mary Malone Jones (Claire Forlani), the gifted, oftentimes tortured golfer was forced to balance his family life and the public scrutiny regarding his golf career, lest both of them dissolve entirely. Directed by Rowdy Herrington, the film also stars Jeremy Northam, Aidan Quinn, and Malcolm McDowell.	PG	Drama	Rowdy Herrington	Rowdy Herrington|Bill Pryor|Tony DePaul	2004-04-30	2004-11-30	$	2,536,460	128 minutes	Film Foundry Releasing
468	Television actor-turned-director Brian Robbins follows up Varsity Blues (1999) and Ready to Rumble (2000) with another sports comedy. Keanu Reeves stars as Conor O'Neill, an underachiever and inveterate sports gambler who needs a bailout loan from a friend to pay off his mounting debt. As a condition for receiving the necessary funds, Conor is saddled with coaching a corporate-sponsored Little League baseball team for underprivileged youth in Chicago's notorious Cabrini Green housing project. Reluctant at first, Conor slowly begins to enjoy his new authority role, especially when he makes the acquaintance of his players' attractive teacher, Elizabeth Wilkes (Diane Lane). Based on the real-life chronicle Hardball: A Season in the Projects by Outside magazine editor Daniel Coyle, Hardball also stars D.B. Sweeney and Mike McGlone.	PG-13	Comedy|Drama	Brian Robbins	John Gatins	2001-09-14	2002-02-19	$	39,697,363	115 minutes	Paramount Pictures
469	Jacqueline Kennedy Onassis sued him, Marlon Brando broke his jaw and Steve McQueen gave him a look that would have killed, if looks could kill. To the celebrities he pursued, photographer Ron Galella was the beast who threatened beauty. As it turned out, he gave them a strange and lasting beauty they might never have known without him. Inherent in the story of this notorious paparazzo are the complex issues of the right to privacy, freedom of the press and the ever-growing vortex of celebrity worship. He sneaked around and invaded and bribed and held up his camera and shot till he dropped (or someone dropped him). His was the artistry of the sniper. Yet Galella found something essential in his real-life subjects, and he gave it permanence.-- (C) Magnilia	PG-13	Documentary|Musical and Performing Arts|Special Interest	Leon Gast	Unknown	2010-07-30	2010-10-19	$	2,367	88 minutes	Magnolia Pictures
477	"A chronicle exploring what happened in Rio de Janeiro, Brazil, on June 12th, 2000--Valentine's Day in Brazil--when Bus 174 was highjacked by an armed young man, Sandro do Nascimento, with a dozen passengers. Nascimento, a disillusioned slum-dweller, threatened to kill all of the passengers, but eventually agreed to surrender, as TV cameras were rolling and an entire nation was glued to their screens, watching the event take place. Regardless, a police officer then decided to fire at Nascimento anyway, accidentally killing one of the female passengers instead. What followed was a revolt among the city's population, enraged both at the police brutality and their incompetence. The crowd's reactions were comparable with the Rodney King riots. The documentary captures the media and society's responses to the event. As the chronicle intertwines the story of the standoff, it also presents biographical information about Sandro do Nascimento, which includes: his childhood as a survivor of the ""Candelaria"" child mass murders in the early 1990s; his subsequent adolescence in which he was sent to horrific juvenile delinquency facilities; as well, his trauma sustained from seeing his mother stabbed to death in front of him."	R	Art House and International|Documentary|Drama|Special Interest	Unknown	Unknown	2003-10-08	2004-07-20	$	140,901	133 minutes	Unknown
482	Take out the trash, eat your broccoli-who needs moms, anyway? Nine-year-old Milo (Seth Green) finds out just how much he needs his mom (Joan Cusack) when she's nabbed by Martians who plan to steal her mom-ness for their own young. Produced by the team behind Disney's A Christmas Carol and The Polar Express, Mars Needs Moms showcases Milo's quest to save his mom-a wild adventure in 3D that involves stowing away on a spaceship, navigating an elaborate, multi-level planet and taking on the alien nation and their leader (Mindy Sterling). With the help of a tech-savvy, underground earthman named Gribble (Dan Fogler) and a rebel Martian girl called Ki (Elisabeth Harnois), Milo just might find his way back to his mom-in more ways than one. Based on the Book by Berkeley Breathed. -- (C) Disney	PG	Action and Adventure|Animation|Comedy|Science Fiction and Fantasy	Simon Wells	Simon Wells|Wendy Wells	2011-03-11	2011-08-09	$	21,379,315	88 minutes	Walt Disney Pictures
483	On the slopes of an active volcano in Guatemala, a marriage is arranged for 17-year-old Maria by her Kaqchikel parents.	NR	Art House and International|Drama	Jayro Bustamante	Jayro Bustamante	2016-08-19	2017-01-17	$	292,923	91 minutes	Unknown
486	Nanni Moretti joins forces with the great French actor Michel Piccoli to tell the story of Melville, a cardinal who suddenly finds himself elected as the next Pope. Never the front runner and completely caught off guard, he panics as he's presented to the faithful in St. Peter's Square. To prevent a world wide crisis, the Vatican's spokesman calls in an unlikely psychiatrist who is neither religious or all that committed, played by Moretti, to find out what is wrong with the new Pope. As the world nervously waits outside, inside the therapist tries to find a solution. But Cardinal Melville is adamant: he does not want the job, or at least needs time to think it over. What follows is a marvelous insight into the concept of a human being existing behind the title of God's representative on Earth. -- (C) IFC	NR	Comedy|Drama	Nanni Moretti	Nanni Moretti|Federica Pontremoli|Francesco Piccolo	2012-04-06	2012-09-11	$	480,926	104 minutes	IFC Films
488	A recent college graduate, Barry B. Benson wants more out of life than the inevitable career that awaits him and every other worker in New Hive City--a job at Honex making honey. Barry jumps at the chance to venture out of the hive, and soon encounters a world beyond his wildest dreams. When Barry inadvertently meets a quirky florist named Vanessa, he breaks one of the cardinal rules of beedom--he talks to her. A friendship soon develops, and Barry gets a guided crash course in the ways of the human race. When he shockingly discovers that anyone can purchase honey right off the grocery store shelf, he realizes that his true calling is to stop this injustice and set the world right by suing the human race for stealing the bees' precious honey.	PG	Animation|Comedy|Kids and Family	Unknown	Spike Feresten|Jerry Seinfeld|Barry Marder|Andy Robin|Chuck Martin|Tom Papa	2007-11-02	2008-03-11	$	126,597,121	90 minutes	Paramount Pictures
491	The jumbo-sized Baker family are back in this sequel to the 2003 box-office hit Cheaper by the Dozen. College football coach Tom Baker (Steve Martin) and his wife, author Kate Baker (Bonnie Hunt), have decided its time they took their sizable brood of 12 children on a summer vacation, and so they pack up the cars and take the kids to Lake Winnetka for some camping. Not all the kids are happy about this, but the one who is really annoyed turns out to be Tom, who discovers his old rival Jimmy Murtaugh (Eugene Levy) is also staying near the lake. Jimmy and his trophy wife, Sarina (Carmen Electra), also have a large family of eight children, and Jimmy and Tom seem intent upon one-upping each other at every opportunity. As the tensions mount, the Baker family and the Murtaugh clan face off in a not-so-good-natured series of family games to determine which of the parents have the greater bragging rights. In addition to Steve Martin and Bonnie Hunt, the actors playing the 12 Baker children from the 2003 film return for Cheaper by the Dozen 2, including Hilary Duff, Piper Perabo, Tom Welling, and Kevin Schmidt.	PG	Comedy|Kids and Family	Adam Shankman	Sam Harper	2005-12-21	2006-05-23	$	82,468,131	93 minutes	20th Century Fox
504	The directorial debut of filmmaker Jared Hess, who also co-wrote the screenplay, Napoleon Dynamite is a quirky, offbeat comedy set in the small Idaho town of Preston. Jon Heder stars in the titular role, a carrot-topped oddball with a decidedly eccentric family that includes his llama-loving, dune-buggy enthusiast grandmother. The story centers on the local high school's race for class president. Using some nontraditional means, Napoleon is determined to help his pal Pedro (Efrem Ramirez) run a winning campaign and defeat popular girl Summer (Haylie Duff). Also starring The Drew Carey Show's Diedrich Bader, Napoleon Dynamite premiered at the 2004 Sundance Film Festival.	PG	Comedy	Jared Hess	Jared Hess|Jerusha Hess	2004-06-11	2004-12-21	$	44,478,018	86 minutes	Fox Searchlight Pictures
505	Premiering to rave reviews at the 2013 Sundance Film Festival, THE KINGS OF SUMMER is a unique coming-of-age comedy about three teenage friends - Joe (Nick Robinson), Patrick (Gabriel Basso) and the eccentric and unpredictable Biaggio (Moises Arias) - who, in the ultimate act of independence, decide to spend their summer building a house in the woods and living off the land. Free from their parents' rules, their idyllic summer quickly becomes a test of friendship as each boy learns to appreciate the fact that family - whether it is the one you're born into or the one you create - is something you can't run away from. (c) CBS Films	R	Comedy	Jordan Vogt-Roberts	Chris Galletta	2013-05-31	2013-09-24	$	1,300,000	95 minutes	CBS Films
520	From bestselling author, Max Lucado, comes The Christmas Candle, a timeless holiday film for the entire family. Deep in the heart of the English countryside lies the enchanting village of Gladbury. Legend has it every 25 years an angel visits the village candlemaker and touches a single candle. Whoever lights this candle receives a miracle on Christmas Eve. But in 1890, at the dawn of the electric age, this centuries old legend may come to an end. When David Richmond (Hans Matheson), a progressive young minister, arrives in Gladbury, the villagers discover a new formula for miracles: good deeds and acts of kindness. While David's quest to modernize Gladbury sets him at odds with the old world candlemaker, he finds an unlikely ally in the lovely skeptic, Emily Barstow (Samantha Barks). Now, the fiery candlemaker must fight to preserve the legacy of the Christmas Candle. But when the candle goes missing, the miraculous and human collide in the most astonishing Christmas the village of Gladbury has ever seen. (c) Official Facebook	PG	Drama|Kids and Family	John Stephenson	Candace Lee|Eric Newman	2013-11-22	2014-11-04	$	2,209,479	100 minutes	Echolight Studios
528	The last thing the two Savage siblings ever wanted to do was look back on their undeniably dysfunctional family legacy. Wendy is a self-medicating struggling East Village playwright, AKA a temp who spends her days applying for grants and stealing office supplies, dating her very married neighbor. Jon is an obsessive compulsive college professor writing obscure books on even more obscure subjects in Buffalo who still can't commit to his girlfriend after four years even though her cooking brings him tears of joy. Then, out of the blue, comes the call that changes everything. They're told that the father they have long feared and avoided, Lenny Savage, has lost his marbles. And, there is no one to help him but his kids. Now, as they put the middle of their already arrested lives on hold, Wendy and Jon must live together under one roof for the first time since childhood, soon rediscovering the eccentricities that drove each other crazy. Faced with complete upheaval and the ultimate sibling rivalry battle over how to handle their father's final days, they are forced to face the past and finally start to realize what adulthood, family and, most surprisingly, each other are really about.	R	Comedy|Drama	Tamara Jenkins	Tamara Jenkins	2007-11-28	2008-04-22	$	6,426,953	114 minutes	Fox Searchlight Pictures
539	Dex and his friends have twisted the philosophies of Lao-tzu, Heidegger and Groucho Marx into a foolproof theory of dating, The Tao of Steve, which provides rule-by-rule guidelines for how to transform ordinary Joes into charismatic Steve McQueen's. Back in college, Dex was the big man on campus. But we meet Dex ten years after graduation as he endures one of life's great humbling experiences; the college reunion. Now an overweight kindergarten teacher, Dex is immune to the shocked stares of the young women who were once his conquests. While trying to pick up a student bartender, Dex is struck by another woman, the gorgeous Syd, who rides motorcycles and designs sets for the Santa Fe Opera. Through a series of circumstances, Syd and Dex are thrown together and he soon finds himself questioning his belief in all things Steve. As Dex falls in love with her, Sy appears immune to his charms and with good reason.	R	Art House and International|Comedy|Drama|Romance	Jenniphr Goodman	Duncan North|Greer Goodman|Jenniphr Goodman	2000-08-04	2001-03-20	$	2,586,310	87 minutes	Unknown
542	"After forays into film noir, thrillers, dramas, and even documentaries, director John Dahl tries the teen horror genre on for size. Paul Walker stars as Lewis Thomas, a college freshman embarking on a cross-country road trip during summer break to pick up his girlfriend Venna (Leelee Sobieski). Along for the ride is Lewis' brother Fuller (Steve Zahn), a practical joker who uses the car's CB radio to play a cruel prank on a lonely trucker known only by the handle Rusty Nail. The victim of Fuller's gag turns out to be a psychotic murderer and soon the brothers are being pursued by the relentless stalker, who gets his revenge in gruesome fashion. Joy Ride, which co-stars Matthew Kimbrough, was produced under the working title ""Squelch."""	R	Action and Adventure|Mystery and Suspense	John Dahl	Unknown	2001-10-05	2002-03-12	$	21,254,983	96 minutes	20th Century Fox
554	1970s-era DC antihero Jonah Hex makes his way to the big screen as co-screenwriters Mark Neveldine and Brian Taylor (Crank, Gamer) team to follow the disfigured gunslinger and part-time bounty hunter on his biggest adventure yet. Supernatural elements combine with Western aesthetics to take viewers on a wild and bloody ride, with Josh Brolin leading the way as Hex and John Malkovich stepping into the villainous role of Turnbull. Jimmy Hayward (Horton Hears a Who) directs.	PG-13	Action and Adventure|Drama|Horror|Western	Jimmy Hayward	Mark Neveldine|Brian Taylor	2010-06-18	2010-10-12	$	10,500,000	84 minutes	Warner Bros. Pictures
563	Kat Ellis is looking for the right man -- now	PG-13	Comedy|Drama|Romance	Clare Kilner	Dana Fox	2005-02-04	2005-08-16	$	32,000,000	89 minutes	Universal Pictures
564	"For super-dog ""Bolt"", every day is filled with adventure, danger and intrigue - at least until the cameras stop rolling. When the star of a hit TV show is accidentally shipped from his Hollywood soundstage to New York City, he begins his biggest adventure yet - a cross-country journey through the real world to get back to his owner and co-star, Penny. Armed only with the delusions that all his amazing feats and powers are real, and the help of two unlikely traveling companions -- a jaded, abandoned housecat named Mittens and a TV-obsessed hamster named Rhino -- Bolt discovers he doesn't need superpowers to be a hero."	PG	Action and Adventure|Animation|Comedy	Unknown	Unknown	2008-11-21	2009-03-24	$	114,053,579	96 minutes	Walt Disney Pictures
567	Now graduated from college and out in the real world where it takes more than a cappella to get by, the Bellas return in Pitch Perfect 3, the next chapter in the beloved series that has taken in more than	PG-13	Comedy	Trish Sie	Mike White|Kay Cannon	2017-12-22	2018-03-20	$	104,880,310	Unknown	Unknown
572	Earl and Hank have only one thing in common: they're both L.A.P.D. rejects. One just got kicked out of the force--the other can't even get in. After confronting each other on opposite sides of the law, during a traffic stop that escalates out of control, these two luckless individuals end up partnered as lowly security guards. Despite being damned to the lowest rung of the law enforcement ladder, Earl and Hank uncover a sophisticated smuggling operation led by Nash and his band of thugs. When Earl and Hank get their hands on some hot property, they go on the run from, first, the bad guys, then, the L.A.P.D.--led by Lt. Washington and Detective McDuff. What these two unlikely partners do to law enforcement is a crime, but they just might save the day. That is, if they don't kill each other first.	PG-13	Action and Adventure|Comedy|Drama	Dennis Dugan	David Ronn|Jay Scherick	2003-01-17	2003-05-27	$	35,764,982	91 minutes	Sony Pictures
573	A young man and his pals rule supreme at their local roller-skating rink, but when the doors close, the boys venture into foreign territory -- uptown's Sweetwater Roller Rink, complete with over-the-top skaters and beautiful girls. Through his preparation for the roller-showdown of the season, the young man manages to find himself and also help his struggling dad get back on track.	PG-13	Comedy|Drama	Unknown	Unknown	2005-09-23	2005-12-13	$	17,364,602	118 minutes	Fox Searchlight Pictures
582	When a half-Chechen, half-Russian, brutally tortured immigrant turns up in Hamburg's Islamic community, laying claim to his father's ill-gotten fortune, both German and US security agencies take a close interest: as the clock ticks down and the stakes rise, the race is on to establish this most wanted man's true identity - oppressed victim or destruction-bent extremist? (c) Roadside Attractions	R	Drama|Mystery and Suspense	Anton Corbijn	Andrew Bovell	2014-07-25	2014-11-04	$	14,037,964	121 minutes	Lionsgate/Roadside Attractions
590	Two ferociously ambitious sisters, Mary and Anne Boleyn, are rivals for the bed and heart of the 16th century English king Henry VIII.	PG-13	Drama|Romance	Justin Chadwick	Peter Morgan	2008-02-29	2008-06-10	$	26,800,000	115 minutes	Sony Pictures/Columbia
596	"""Arctic Tale"" is an epic adventure that explores the vast world of the Great North. The film follows the walrus, Seela, and the polar bear, Nanu, on their journey from birth to adolescence to maturity and parenthood in the frozen Arctic wilderness. Once a perpetual winter wonderland of snow and ice, the walrus' and the polar bear's beautiful icebound world is melting away from underneath them."	G	Documentary|Special Interest	Adam Ravetch|Sarah Robertson	Linda Woolverton|Mose Richards|Kristin Gore	2007-08-17	2017-08-01	$	598,103	86 minutes	Paramount Vantage
610	American tourist Frank (Johnny Depp) meets a mysterious beauty who drags him into a dangerous world of intrigue and espionage while traveling through Europe in director Florian Henckel von Donnersmarck's paranoid thriller. When Frank met Elise (Angelina Jolie) on the train, he thought it was a chance encounter. Little did Frank realize it was all part of a much bigger plan, one that would soon find him dodging bullets through both the historic streets of Paris and the winding canals of Venice. Now, the faster Frank and Elise run, the more intense their romance grows.	PG-13	Action and Adventure|Mystery and Suspense|Romance	Florian Henckel von Donnersmarck	Florian Henckel von Donnersmarck|Christopher McQuarrie|Julian Fellowes	2010-12-10	2011-03-22	$	67,631,157	103 minutes	Columbia Pictures
611	Directed by Clint Eastwood, the mysterious drama Mystic River is based on the novel by Dennis Lehane and adapted by screenwriter Brian Helgeland. Set in an Irish neighborhood in Boston, Jimmy, Sean, and Dave are three childhood friends who are reunited after a brutal murder takes place. Reformed convict Jimmy Markum (Sean Penn) and his devoted wife Annabeth (Laura Linney) find out that their teenage daughter Katie (Emmy Rossum) has been beaten and killed. Jimmy's old friend Sean Devine (Kevin Bacon) is the homicide detective assigned to the case, along with partner Whitey Powers (Laurence Fishburne). Jimmy also gets his relatives, the Savage brothers (Adam Nelson and Robert Wahlberg), to conduct an investigation of their own. Jimmy and Sean both start to suspect their old pal, Dave Boyle (Tim Robbins), who lives a quiet life with his wife Celeste (Marcia Gay Harden) but harbors some disturbing secrets. Clint Eastwood won a Golden Coach for Mystic River at the 2003 Cannes Film Festival.	R	Drama|Mystery and Suspense	Clint Eastwood	Brian Helgeland	2003-10-08	2004-06-08	$	88,800,000	137 minutes	WB
623	After a long absence, gangster and father Ulysses Pick (Jason Patric) arrives home to a house haunted with memories, towing the body of a teenaged girl and a bound and gagged young man. His gang waits inside his house, having shot their way past police. There is friction in the ranks. Ulysses, however, is focused on one thing: journeying through the house, room by room, and reaching his wife Hyacinth (Isabella Rossellini) in her bedroom upstairs. The equilibrium of the house has been disturbed and his odyssey eventually becomes an emotional tour, as the ghostly nooks and crannies of the house reveal more about the mysterious Pick family. -- (C) Official Site	R	Art House and International|Drama|Mystery and Suspense	Guy Maddin	Guy Maddin|George Toles	2012-04-06	2012-06-18	$	22,099	93 minutes	Monterey Media
626	"Popular bogeymen Jason Voorhees terrorizes a group of nubile astronauts five centuries into the future in this sci-fi update of the Friday the 13th franchise. Early in the 21st century, Jason (actor/stunt man Kane Hoddar, filling the role for a fourth time) is experimented upon by army technocrats who hope to turn his supernatural invulnerability into a military application. Most of them meet a swift and bloody end -- except Rowan (Lexa Doig), a beautiful functionary, who traps the killer in a cryogenic stasis chamber. Unfortunately, she takes a machete blow in the process, gets frozen herself, and wakes up on a spaceship in the year 2455. The earth has long since been rendered uninhabitable, but the survivors include a group of archaeological students headed by Professor Lowe (Jonathan Potts), who hopes to make a quick buck by selling the corpse of the historical serial killer. The kids re-animate Rowan with the help of nanotechnology. Little do they know that a mere thaw job is enough to resuscitate Jason and reawaken his bloodthirst. Soon, the comely students and their space-marine protectors are being dispatched one by one. Help arrives in the form of a holographic chamber and an android named Kay-Em 14 (Lisa Ryder). Soon, though, Jason himself gets an upgrade -- just as the spaceship is getting ready to self-destruct. The tenth installment in the long-running horror series, Jason X was the first new entry to appear in almost a decade. In fact, the previous film, 1993's Jason Goes to Hell: The Final Friday, was one of two installments whose titles erroneously contained the word ""final."""	R	Horror|Mystery and Suspense|Science Fiction and Fantasy	James Isaac	Todd Farmer	2002-04-26	2004-06-01	$	12,610,731	91 minutes	New Line Cinema
643	Brigsby Bear Adventures is a children's TV show produced for an audience of one: James (Kyle Mooney). When the show abruptly ends, James' life changes forever, he sets out to finish the story himself and must learn to cope with the realities of a new world that he knows nothing about.	PG-13	Comedy	Dave McCary	Kevin Costello	2017-07-28	2017-11-14	$	529,426	97 minutes	Sony Pictures Classics
646	On the eve of graduating law school, Veronica Mars has put Neptune and her amateur sleuthing days behind her. While interviewing at high-end New York law firms, Veronica Mars gets a call from her ex-boyfriend Logan who has been accused of murder. Veronica heads back to Neptune just to help Logan find an attorney, but when things don't seem right with how Logan's case is perceived and handled, Veronica finds herself being pulled back into a life she thought she had left behind. (c) Official Site	PG-13	Comedy|Drama|Mystery and Suspense	Unknown	Unknown	2014-03-14	2014-05-06	$	2,664,765	108 minutes	Warner Bros.
661	One woman's rocky road to the altar gets played for laughs in this comedy, adapted from the one-woman off-Broadway show written by and starring Nia Vardalos. Toula (Vardalos) is a Greek-American woman who is in her early thirties and single, with no immediate prospects of changing that status any time soon. This bothers Toula a bit, but not half as much as it distresses her mother (Lainie Kazan) and father (Michael Constantine), who want to send her to Greece in hopes of finding a husband in the old country. Toula isn't interested in leaving the country to find a man, but since she works in the family business -- a Greek restaurant in Chicago called Dancing Zorba's -- she has to hear about it whether she likes it or not. One day, after seeing a handsome stranger in the restaurant and not having the courage to talk to him, Toula decides she needs a bit of self-improvement. Despite her dad's misgivings, Toula signs up for a night-school class studying computers, trades in her glasses for contact lenses, gets a different job at a travel agency, and spruces herself up with a new look and a new attitude. To her very pleasant surprise, she once again encounters the handsome stranger, who soon asks her out on a date. Schoolteacher Ian Miller (John Corbett) is seemingly perfect -- he's tall, handsome, smart, good-natured, and soon in love with Toula -- except for two little things: he's not Greek, and he's a vegetarian, both of which horrify Toula's family. When Ian pops the question (and Toula says yes), the bride-to-be has to negotiate a reasonably peaceful meeting between Ian's upper-class parents and her own working-class extended family. There's also the matter of the wedding, which Toula's mother is planning around the notion that quantity IS quality. My Big Fat Greek Wedding also features Ian Gomez (Vardalos' real-life husband), Louis Mandylor, Andrea Martin, and Joey Fatone (from the pop group	PG	Comedy|Romance	Joel Zwick	Nia Vardalos	2002-04-19	2003-02-11	$	241,250,669	95 minutes	IFC Films
667	In the 3D animated comedy, The Angry Birds Movie, we'll finally find out why the birds are so angry. The movie takes us to an island populated entirely by happy, flightless birds--or almost entirely. In this paradise, Red (Jason Sudeikis), a bird with a temper problem, speedy Chuck (Josh Gad), and the volatile Bomb (Danny McBride) have always been outsiders. But when the island is visited by mysterious green piggies, it's up to these unlikely outcasts to figure out what the pigs are up to.	PG	Animation|Kids and Family	Clay Kaytis|Fergal Reilly	Jon Vitti	2016-05-20	2016-08-16	$	107,506,776	95 minutes	Sony Pictures
672	A couple's strength and faith are tested after the wife is injured in a car crash and husband becomes attracted to another woman.	PG-13	Drama|Horror	Bill Duke	Brian Bird	2009-01-09	2009-04-07	$	10,572,742	100 minutes	Screen Gems/SONY PICTURES
673	James Robert Kennedy--nicknamed 'Radio' because of his vintage radio collection and his love of music--is a loner in Anderson, South Carolina, pushing his ever-present grocery cart up and down the streets. He speaks to no one and is rarely spoken to, until one day, Coach Harold Jones, one of the town's most respected men, and coach of the popular high school football team, befriends him. Radio is suspicious at first. But Coach Jones is persistent, even enlisting the help of Radio's mother. Jones' friends and family are taken aback as well since, until he met Radio, all his energies were poured exclusively into football. Slowly, Coach Jones earns Radio's trust and opens up a new world to him. He invites Radio to help out at football practice and during games and to sit in on his classes at school, despite the initial misgivings of Principal Daniels. He also champions him to the football players, the students and faculty. Coach Jones' life is also enriched by Radio, from whom he learns to value friendship and family ties as much as he does coaching football. Still, there are those in town who believe that Coach Jones' devotion to the young man is distracting him from his duties as head coach of the football team. There are several attempts to have Radio barred from the classroom and, after his mother's untimely death, remanded to a mental-health facility. Coach Jones valiantly fights off these efforts, but he is finally forced to make a difficult decision, which will impact both his growing friendship with Radio and his career as a football coach.	PG	Drama	Mike Tollin|Michael Tollin	Mike Rich	2003-10-24	2004-01-27	$	52,277,485	109 minutes	Sony Pictures Entertainment
674	"When 22 year-old drug dealer Chris (Hirsch) has his stash of drugs stolen from him by his mother, he has to come up with six-thousand dollars quick, or he's dead. Desperate, he goes to the trailer-park to see his father, Ansel (Hayden Church), and he lays out the plan. Chris's mother, who everyone hates, has a life insurance policy that would clear up his debt and make them all rich. The problem is that Chris' mother is very much alive. Enter Detective ""Killer"" Joe Cooper, a hired hit man with the manners of a Southern gentleman, who will do the job - for an upfront fee, that Chris and Ansel can't pay. Just as Joe is about to leave, he spots Dottie (Temple), Chris' innocent younger sister. Joe makes Chris an offer, he'll keep Dottie as sexual collateral until the money is collected and his fee can be paid. -- (C) Voltage Pictures"	R	Comedy|Mystery and Suspense	William Friedkin	Tracy Letts	2012-07-27	2012-12-21	$	1,800,000	102 minutes	Independent Pictures
685	Adapted from Bob Glaudini's play of the same name, Philip Seymour Hoffman's directorial debut, Jack Goes Boating, tells the simple tale of Jack (Hoffman), a shy, fortyish limo driver with a fondness for pot and reggae music -- he likes it because it sounds happy -- who meets Connie (Amy Ryan) for a blind date set up by Connie's co-worker Lucy (Daphne Rubin-Vega), who is married to Jack's best friend and fellow limo driver, Clyde (John Ortiz). As the young couple tentatively come together, breaking through layers and layers of awkwardness and low self-esteem, Clyde and Lucy's marriage begins to dissolve because of Clyde's inability to get over an incident from their past. All the while, Clyde gives Jack swimming lessons so that he can take Connie on her dream date -- a boating trip on the lake.	R	Comedy|Romance	Philip Seymour Hoffman	Bob Glaudini	2010-09-17	2011-01-18	$	300,000	91 minutes	Fox Searchlight
686	"Set in a dystopic present where vigilant gargoyles and ferocious demons rage in a battle for ultimate power, Victor Frankenstein's creation Adam (Aaron Eckhart) finds himself caught in the middle as both sides race to discover the secret to his immortality. From the creators of the hit supernatural saga, UNDERWORLD, comes the action thriller I, FRANKENSTEIN, written for the screen and directed by Stuart Beattie based on the graphic novel ""I, Frankenstein"" by Kevin Grevioux, and brought to life by a cast that includes Aaron Eckhart, Bill Nighy, Yvonne Strahovski, Miranda Otto, Jai Courtney, Socratis Otto, Mahesh Jadu, Caitlin Stasey and Aden Young as Victor Frankenstein. (c) Lionsgate"	PG-13	Horror|Mystery and Suspense|Science Fiction and Fantasy	Stuart Beattie	Stuart Beattie	2014-01-24	2014-05-13	$	15,687,400	92 minutes	Lionsgate Films
689	"""Inherent Vice,"" is the seventh feature from Paul Thomas Anderson and the first ever film adaption of a Thomas Pynchon novel. When private eye Doc Sportello's ex-old lady suddenly out of nowhere shows up with a story about her current billionaire land developer boyfriend whom she just happens to be in love with, and a plot by his wife and her boyfriend to kidnap that billionaire and throw him in a looney bin...well, easy for her to say. It's the tail end of the psychedelic"	R	Drama|Mystery and Suspense	Paul Thomas Anderson	Paul Thomas Anderson	2015-01-09	2015-04-28	$	6,100,613	148 minutes	Warner Bros. Pictures
714	Newlywed couple Ted and Tami-Lynn want to have a baby, but in order to qualify to be a parent, Ted will have to prove he's a person in a court of law.	R	Comedy	Seth MacFarlane	Seth MacFarlane|Alec Sulkin|Wellesley Wild	2015-06-26	2015-12-15	$	63,883,740	120 minutes	Universal Pictures
715	This psychological thriller from screenwriter Patrick Smith Kelly reunites him with his A Perfect Murder (1998) star Michael Douglas. Dr. Nathan Conrad (Douglas) is a respected adolescent therapist faced with a nightmarish scenario when his young daughter (Skye McCole Bartusiak) is snatched by Koster (Sean Bean), a criminal with a talent for high-tech surveillance. Conrad learns that the kidnapper is desperate for a critical piece of information known only to Elisabeth Burrows (Brittany Murphy), one of his catatonic pro bono patients. While his wife Aggie (Famke Janssen) remains at home, bedridden due to a broken leg, Conrad races to unlock the secret stored in Elisabeth's fractured mind, while a New York City detective (Jennifer Esposito) inches closer to discovering the Conrads' dilemma. Don't Say a Word co-stars Oliver Platt and Guy Torry and is directed by Gary Fleder, who follows up his suspense smash Kiss the Girls (1997).	R	Drama|Mystery and Suspense	Gary Fleder	Patrick Kelly|Anthony Peckham	2001-09-28	2002-02-19	$	54,218,420	110 minutes	20th Century Fox
738	"Set in London in 1921, Florence Cathcart (Rebecca Hall), author of the popular book ""Seeing Through Ghosts,"" has devoted her career to exposing claims of the supernatural as nothing but hoaxes. Haunted by the recent death of her fianc"	R	Art House and International|Horror|Mystery and Suspense	Nick Murphy	Nick Murphy|Stephen Volk	2012-08-17	2013-01-29	$	175,088	107 minutes	Cohen Media Group
